ID,REGION,YEAR,WEEK,NUM. OF PROVIDERS,TOTAL PATIENTS,PERCENT POSITIVE,TOTAL SPECIMENS
4,California,2010,40,112.0,32342.0,0.29,183
58,California,2010,41,15.0,3780.0,0.76,163
112,California,2010,42,4.0,3070.0,0.33,174
166,California,2010,43,60.0,36901.0,0.0,168
220,California,2010,44,13.0,4816.0,1.0,229
274,California,2010,45,43.0,12898.0,1.04,213
328,California,2010,46,44.0,10574.0,0.64,275
382,California,2010,47,0.0,0.0,0.59,223
436,California,2010,48,20.0,8962.0,1.58,327
490,California,2010,49,52.0,15087.0,0.92,324
544,California,2010,50,48.0,17344.0,1.68,321
598,California,2010,51,6.0,1602.0,3.53,307
652,California,2010,52,38.0,16055.0,3.98,343
706,California,2011,1,25.0,5667.0,7.92,324
760,California,2011,2,101.0,11098.0,9.64,330
814,California,2011,3,12.0,1821.0,12.11,309
868,California,2011,4,15.0,3547.0,12.85,378
922,California,2011,5,65.0,17335.0,13.83,403
976,California,2011,6,25.0,10195.0,20.24,441
1030,California,2011,7,51.0,13081.0,23.4,510
1084,California,2011,8,13.0,4764.0,22.62,412
1138,California,2011,9,92.0,69415.0,21.95,437
1192,California,2011,10,36.0,12417.0,18.34,394
1246,California,2011,11,20.0,4153.0,13.15,344
1300,California,2011,12,28.0,9169.0,12.59,245
1354,California,2011,13,65.0,24661.0,8.66,278
1408,California,2011,14,120.0,35693.0,7.16,256
1462,California,2011,15,21.0,3469.0,4.83,244
1516,California,2011,16,2.0,1381.0,3.91,204
1570,California,2011,17,52.0,34046.0,3.22,164
1624,California,2011,18,7.0,3445.0,2.69,145
1678,California,2011,19,34.0,8268.0,2.33,136
1732,California,2011,20,21.0,3748.0,1.8,148
1786,California,2011,21,0.0,0.0,1.85,130
1840,California,2011,22,7.0,4944.0,1.03,106
1894,California,2011,23,40.0,11776.0,1.0,120
1948,California,2011,24,41.0,15063.0,1.0,102
2002,California,2011,25,4.0,1692.0,0.39,115
2056,California,2011,26,23.0,6687.0,0.25,79
2110,California,2011,27,19.0,3529.0,0.27,81
2164,California,2011,28,60.0,4808.0,0.84,57
2218,California,2011,29,7.0,1321.0,0.77,102
2272,California,2011,30,12.0,1972.0,0.7,50
2326,California,2011,31,34.0,9857.0,0.22,85
2380,California,2011,32,13.0,4464.0,0.29,60
2434,California,2011,33,51.0,10001.0,0.21,80
2488,California,2011,34,13.0,4919.0,1.05,63
2542,California,2011,35,87.0,60971.0,0.69,77
